player,source_list_rank,position,team_school,league,birthdate,age_at_draft,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,fg_pct,three_pct,three_pa_pg,ft_pct,fta_pg,ts_pct,usage_pct,ast_pct,tov_pct,obpm,dbpm,bpm,injury_notes
Sergio De Larrea,31,PG/SG,Valencia Basket,EuroLeague + Spanish ACB (top European level),2005-12-04,20.56,6-5,175,65,14.5,7.1,2.2,2.8,0.5,0.2,0.441,0.409,2.4,0.819,2.2,0.604,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,none found; played 65 games across all competitions
Alex Karaban,32,SF/PF,UConn,NCAA D1 (Big East),2002-11-11,23.62,6-8,210,40,34.3,13.2,5.3,2.4,0.8,0.8,0.464,0.374,5.2,0.851,2.2,0.590,18.4,12.4,8.8,5.4,3.6,9.0,not researched in depth; played 40 games
Zuby Ejiofor,33,PF,St. John's,NCAA D1 (Big East),2004-04-20,22.18,6-9,240,37,30.0,16.3,7.3,3.5,1.2,2.1,0.536,0.305,1.6,0.718,7.0,0.609,24.8,23.0,13.6,8.5,6.0,14.5,not researched in depth; played 37 games
Luigi Suigo,34,C,KK Mega Basket,ABA Liga / Adriatic (development-tier pro league),2007-01-29,19.4,7-2,250,26,18.4,7.9,5.1,0.7,0.5,1.0,0.535,0.271,1.8,0.647,1.3,0.589,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,none found; 26 ABA games (32 all competitions)
Richie Saunders,35,SG,BYU,NCAA D1 (Big 12),2001-09-19,24.76,6-5,200,25,31.4,18.0,5.8,2.1,1.7,0.3,0.489,0.376,6.8,0.817,4.4,0.632,24.5,12.2,10.3,7.8,2.9,10.7,"Torn ACL vs Colorado Feb 14, 2026, season-ending; played 25 games"
Ryan Conwell,36,SG,Louisville,NCAA D1 (ACC),2004-06-15,22.03,6-4,195,34,30.9,18.8,4.8,2.7,1.1,0.2,0.408,0.345,9.6,0.832,4.4,0.566,29.5,16.6,11.5,5.1,2.2,7.3,not researched in depth; played 34 games
Ugonna Onyenso,37,C,Virginia,NCAA D1 (ACC),2004-09-25,21.75,6-11,225,36,18.6,6.5,4.9,0.6,0.6,2.9,0.568,0.278,1.0,0.727,1.2,0.616,15.5,5.8,7.8,4.7,7.6,12.2,not researched in depth; played 36 games
Jaden Bradley,38,PG,Arizona,NCAA D1 (Big 12),2003-09-14,22.78,6-3,185,39,30.6,13.3,3.4,4.4,1.4,0.1,0.463,0.394,1.7,0.809,4.8,0.568,20.9,23.2,13.0,3.7,5.3,9.0,not researched in depth; played 39 games
Trevon Brazile,39,PF,Arkansas,NCAA D1 (SEC),2003-01-07,23.46,6-9,215,36,31.5,13.0,7.3,1.6,1.5,1.6,0.525,0.341,3.7,0.717,3.3,0.619,17.6,7.6,9.1,5.4,3.9,9.3,not researched in depth; played 36 games
Baba Miller,40,SF,Cincinnati,NCAA D1 (Big 12),2004-02-07,22.38,6-11,204,31,31.9,13.0,10.3,3.7,0.7,1.2,0.529,0.192,1.7,0.658,4.8,0.576,21.1,23.3,16.2,3.7,5.8,9.4,not researched in depth; played 31 games
