player,comp1,comp1_vorp,comp2,comp2_vorp,comp3,comp3_vorp,comp4,comp4_vorp,comp5,comp5_vorp,cohort15_floor_vorp,cohort15_median_vorp,cohort15_ceiling_vorp,cohort15_bust_rate,cohort15_allstar_rate,confidence,mismatch_note
Yaxel Lendeborg,"Cameron Johnson (2019, 11)",8.8,"Ryan Kelly (2013, 48)",-0.5,"Shane Battier (2001, 6)",28.2,"Desmond Mason (2000, 17)",-2.1,"Mikal Bridges (2018, 10)",15.8,-0.6,0.3,13.0,0.133,0.0,HIGH,comp4 Desmond Mason: size mismatch (81in vs 77in)
Labaron Philon Jr.,"Devin Harris (2004, 5)",15.5,"Delonte West (2004, 24)",8.7,"Damian Lillard (2012, 6)",54.5,"Nate Wolters (2013, 38)",-0.2,"Reggie Jackson (2011, 24)",7.5,-0.2,3.2,17.5,0.133,0.2,HIGH,
Karim Lopez,"Marquese Chriss (2016, 8)",-0.5,"Jonathan Isaac (2017, 6)",4.3,"Luol Deng (2004, 7)",22.9,"Mike Miller (2000, 5)",19.8,"Franz Wagner (2021, 8)",7.7,0.6,4.3,23.7,0.067,0.2,LOW (international: anthro+age+basic stats only; non-NCAA league context),
Cameron Carr,"Josh Childress (2004, 6)",7.4,"Allen Crabbe (2013, 31)",0.9,"Kevin Martin (2004, 26)",16.1,"Antoine Wright (2005, 15)",-2.4,"Markel Brown (2014, 44)",-0.4,-0.5,0.4,13.5,0.0,0.067,HIGH,
Hannes Steinbach,"Deandre Ayton (2018, 1)",9.2,"Marvin Bagley III (2018, 2)",1.5,"Chris Bosh (2003, 4)",31.1,"Jalen Smith (2020, 10)",2.4,"Curtis Borchardt (2002, 18)",-0.5,0.1,3.9,32.4,0.2,0.267,HIGH,
Morez Johnson Jr.,"Marreese Speights (2008, 16)",-0.6,"Jeff Ayres (2009, 31)",-0.2,"Zeke Nnaji (2020, 22)",-0.7,"T.J. Leaf (2017, 18)",0.1,"Bam Adebayo (2017, 14)",22.2,-0.3,0.1,10.1,0.067,0.067,HIGH,
Jayden Quaintance,"Harry Giles (2017, 20)",-0.2,"Andre Drummond (2012, 9)",18.9,"Ike Anigbogu (2017, 47)",0.0,"Steven Adams (2013, 12)",12.9,"Daniel Orton (2010, 29)",-0.2,-0.2,1.3,19.2,0.333,0.2,HIGH,comp4 Steven Adams: rim-protection mismatch (BLK% 5.1 vs 11.2) | comp5 Daniel Orton: rim-protection mismatch (BLK% 5.1 vs 10.6)
Ebuka Okorie,"Joseph Forte (2001, 21)",-0.2,"Jerryd Bayless (2008, 11)",1.1,"Collin Sexton (2018, 8)",3.0,"Devin Harris (2004, 5)",15.5,"O.J. Mayo (2008, 3)",4.7,0.5,3.1,24.1,0.133,0.267,HIGH,
Bennett Stirtz,"Luther Head (2005, 24)",4.2,"Devin Harris (2004, 5)",15.5,"Malachi Flynn (2020, 29)",-0.5,"Jalen Brunson (2018, 33)",18.8,"Joe Young (2015, 43)",-0.6,-0.4,2.2,17.5,0.2,0.2,HIGH,
Christian Anderson,"Aaron Holiday (2018, 23)",0.1,"Landry Shamet (2018, 26)",0.4,"Chris Paul (2005, 4)",98.8,"Tyrese Haliburton (2020, 12)",18.9,"Kira Lewis Jr. (2020, 13)",-0.6,0.2,6.9,17.5,0.067,0.2,HIGH,comp3 Chris Paul: shooting-volume mismatch (3PA/g 7.9 vs 3.0)
Chris Cenac Jr.,"Kosta Koufos (2008, 23)",2.0,"Kevon Looney (2015, 30)",6.2,"Wilson Chandler (2007, 23)",3.5,"Tony Bradley (2017, 28)",1.0,"Perry Jones (2012, 28)",-0.6,-0.1,1.2,7.7,0.133,0.067,HIGH,
Allen Graves,"Jason Richardson (2001, 5)",23.8,"DerMarr Johnson (2000, 6)",0.6,"Mike Miller (2000, 5)",19.8,"Otto Porter Jr. (2013, 3)",12.5,"Marcus Haislip (2002, 13)",-0.6,-0.1,4.4,23.4,0.2,0.133,HIGH,comp1 Jason Richardson: size mismatch (81in vs 77in)
Dailyn Swain,"Josh Childress (2004, 6)",7.4,"Chase Budinger (2009, 44)",2.9,"Jared Dudley (2007, 22)",11.0,"Jeff Green (2007, 5)",4.5,"Will Barton (2012, 40)",6.9,1.9,6.9,14.8,0.067,0.133,HIGH,
Koa Peat,"Chris Wilcox (2002, 8)",1.2,"Luol Deng (2004, 7)",22.9,"Donnell Harvey (2000, 22)",-0.5,"Darrell Arthur (2008, 27)",-0.4,"Spencer Hawes (2007, 10)",3.4,0.4,3.4,25.6,0.0,0.2,HIGH,
Meleek Thomas,"Gary Harris (2014, 19)",2.6,"Joseph Forte (2001, 21)",-0.2,"Brandon Armstrong (2001, 23)",-1.0,"Jordan Poole (2019, 28)",0.4,"Malik Beasley (2016, 19)",3.7,-0.2,1.0,4.1,0.133,0.0,HIGH,
Luigi Suigo,"Tony Bradley (2017, 28)",1.0,"Alex Len (2013, 5)",0.3,"Robin Lopez (2008, 15)",4.6,"Kosta Koufos (2008, 23)",2.0,"Samuel Dalembert (2001, 26)",4.6,-0.1,1.0,13.2,0.2,0.133,LOW (international: anthro+age+basic stats only; non-NCAA league context),comp1 Tony Bradley: size mismatch (86in vs 81in)
Henri Veesaar,"Obi Toppin (2020, 8)",5.4,"Curtis Borchardt (2002, 18)",-0.5,"Michael Bradley (2001, 17)",-1.0,"T.J. Leaf (2017, 18)",0.1,"Jakob Poeltl (2016, 9)",11.9,-0.1,0.1,9.8,0.2,0.067,HIGH,
Isaiah Evans,"Brandon Armstrong (2001, 23)",-1.0,"Jeremy Lamb (2012, 12)",7.9,"Arron Afflalo (2007, 27)",2.4,"Luke Kennard (2017, 12)",6.3,"Malik Monk (2017, 11)",3.1,-0.5,2.4,7.3,0.067,0.0,HIGH,
Zuby Ejiofor,"Nick Collison (2003, 12)",3.1,"Xavier Tillman Sr. (2020, 35)",2.0,"Channing Frye (2005, 8)",8.0,"Kenyon Martin (2000, 1)",12.1,"Al Horford (2007, 3)",45.1,0.0,3.1,15.5,0.133,0.2,HIGH,
Joshua Jefferson,"Julius Hodge (2005, 20)",0.0,"Caron Butler (2002, 10)",12.6,"DeAndre' Bembry (2016, 21)",-0.4,"Darington Hobson (2010, 37)",-0.1,"Draymond Green (2012, 35)",27.9,-0.2,2.6,14.9,0.333,0.2,HIGH,comp3 DeAndre' Bembry: size mismatch (80in vs 76in)
Sergio De Larrea,"Doron Lamb (2012, 42)",-1.2,"Devin Vassell (2020, 11)",4.4,"Corey Brewer (2007, 7)",2.0,"Jordan Poole (2019, 28)",0.4,"Shai Gilgeous-Alexander (2018, 11)",36.9,-0.5,-0.1,13.9,0.2,0.133,LOW (international: anthro+age+basic stats only; non-NCAA league context),
Tarris Reed Jr.,"Nick Collison (2003, 12)",3.1,"Etan Thomas (2000, 12)",-0.2,"Rakeem Christmas (2015, 36)",-0.2,"Curtis Borchardt (2002, 18)",-0.5,"Kenyon Martin (2000, 1)",12.1,-0.3,0.1,10.0,0.267,0.2,HIGH,
Alex Karaban,"Isaiah Livers (2021, 42)",-0.7,"Ryan Kelly (2013, 48)",-0.5,"Morris Peterson (2000, 21)",7.6,"Brandon Rush (2008, 13)",1.6,"Devon Hall (2018, 53)",-0.1,-0.6,1.6,7.8,0.2,0.0,HIGH,comp5 Devon Hall: size mismatch (80in vs 76in)
Richie Saunders,"Cameron Johnson (2019, 11)",8.8,"Chris Duarte (2021, 13)",-0.8,"Juan Dixon (2002, 17)",-0.3,"C.J. Wilcox (2014, 28)",-0.2,"Damyean Dotson (2017, 44)",-0.9,-0.6,-0.1,12.0,0.267,0.0,HIGH,
Ryan Conwell,"Maurice Ager (2006, 28)",-0.9,"Kareem Rush (2002, 20)",-1.8,"Quentin Grimes (2021, 25)",2.7,"Randy Foye (2006, 7)",3.8,"Jordan Crawford (2010, 27)",1.3,-0.6,0.1,4.3,0.267,0.0,HIGH,comp5 Jordan Crawford: shooting-volume mismatch (3PA/g 9.6 vs 5.8)
Baba Miller,"Chandler Parsons (2011, 38)",10.2,"Kyle Kuzma (2017, 27)",1.8,"Joakim Noah (2007, 9)",20.9,"David Lee (2005, 30)",19.2,"Derrick Brown (2009, 40)",0.4,-0.2,0.4,15.6,0.2,0.133,HIGH,
Jaden Bradley,"Nigel Williams-Goss (2017, 55)",0.0,"Devon Hall (2018, 53)",-0.1,"Cody Martin (2019, 36)",0.3,"Demetrius Jackson (2016, 45)",0.1,"Ray McCallum (2013, 36)",-0.4,-0.3,0.0,2.8,0.333,0.0,HIGH,
Trevon Brazile,"Morris Peterson (2000, 21)",7.6,"Desmond Mason (2000, 17)",-2.1,"Ryan Kelly (2013, 48)",-0.5,"Tayshaun Prince (2002, 23)",18.0,"Wesley Johnson (2010, 4)",1.2,-0.2,1.9,15.6,0.133,0.067,HIGH,comp2 Desmond Mason: size mismatch (81in vs 77in)
Ugonna Onyenso,"Marreese Speights (2008, 16)",-0.6,"Marcus Haislip (2002, 13)",-0.6,"DerMarr Johnson (2000, 6)",0.6,"Cole Aldrich (2010, 11)",1.8,"Hamady N'Diaye (2010, 56)",-0.2,-0.4,0.6,19.4,0.267,0.2,HIGH,
